year,month,location,property_type,bedrooms,bathrooms,land_size_perches,price_lkr,inflation_pct,lending_rate_pct,usd_lkr,gdp_growth_pct,policy_rate_pct,property_price_index,data_source
2018,6,Ampara,House,,,,1607142.8571428573,4.3,13.0,162.0,3.3,8.5,100.0,estimated_historical
2018,6,Ampara,Land,,,,356875.0,4.3,13.0,162.0,3.3,8.5,100.0,estimated_historical
2018,6,Anuradhapura,Land,,,,78571.42857142858,4.3,13.0,162.0,3.3,8.5,100.0,estimated_historical
2018,6,Badulla,House,,,,5982142.857142857,4.3,13.0,162.0,3.3,8.5,100.0,estimated_historical
2018,6,Badulla,Land,,,,205357.14285714287,4.3,13.0,162.0,3.3,8.5,100.0,estimated_historical
2018,6,Batticaloa,House,,,,2321428.5714285714,4.3,13.0,162.0,3.3,8.5,100.0,estimated_historical
2018,6,Batticaloa,Land,,,,1160714.2857142857,4.3,13.0,162.0,3.3,8.5,100.0,estimated_historical
2018,6,Colombo,Apartment,,,,23214285.714285716,4.3,13.0,162.0,3.3,8.5,100.0,estimated_historical
2018,6,Colombo,House,,,,16964285.714285716,4.3,13.0,162.0,3.3,8.5,100.0,estimated_historical
2018,6,Colombo,Land,,,,642857.1428571428,4.3,13.0,162.0,3.3,8.5,100.0,estimated_historical
2018,6,Galle,Apartment,,,,35714285.71428572,4.3,13.0,162.0,3.3,8.5,100.0,estimated_historical
2018,6,Galle,House,,,,10178571.42857143,4.3,13.0,162.0,3.3,8.5,100.0,estimated_historical
2018,6,Galle,Land,,,,303571.4285714286,4.3,13.0,162.0,3.3,8.5,100.0,estimated_historical
2018,6,Gampaha,Apartment,,,,15000000.0,4.3,13.0,162.0,3.3,8.5,100.0,estimated_historical
2018,6,Gampaha,House,,,,10178571.42857143,4.3,13.0,162.0,3.3,8.5,100.0,estimated_historical
2018,6,Gampaha,Land,,,,241071.42857142858,4.3,13.0,162.0,3.3,8.5,100.0,estimated_historical
2018,6,Hambantota,House,,,,1714285.7142857143,4.3,13.0,162.0,3.3,8.5,100.0,estimated_historical
2018,6,Hambantota,Land,,,,160714.2857142857,4.3,13.0,162.0,3.3,8.5,100.0,estimated_historical
2018,6,Jaffna,House,,,,14285714.285714285,4.3,13.0,162.0,3.3,8.5,100.0,estimated_historical
2018,6,Jaffna,Land,,,,553571.4285714286,4.3,13.0,162.0,3.3,8.5,100.0,estimated_historical
2018,6,Kalutara,Apartment,,,,30357142.85714286,4.3,13.0,162.0,3.3,8.5,100.0,estimated_historical
2018,6,Kalutara,House,,,,8500000.0,4.3,13.0,162.0,3.3,8.5,100.0,estimated_historical
2018,6,Kalutara,Land,,,,223214.2857142857,4.3,13.0,162.0,3.3,8.5,100.0,estimated_historical
2018,6,Kandy,House,,,,15535714.285714285,4.3,13.0,162.0,3.3,8.5,100.0,estimated_historical
2018,6,Kandy,Land,,,,88571.42857142858,4.3,13.0,162.0,3.3,8.5,100.0,estimated_historical
2018,6,Kegalle,House,,,,16071428.57142857,4.3,13.0,162.0,3.3,8.5,100.0,estimated_historical
2018,6,Kegalle,Land,,,,76785.71428571429,4.3,13.0,162.0,3.3,8.5,100.0,estimated_historical
2018,6,Kurunegala,House,,,,8482142.857142858,4.3,13.0,162.0,3.3,8.5,100.0,estimated_historical
2018,6,Kurunegala,Land,,,,308928.5714285714,4.3,13.0,162.0,3.3,8.5,100.0,estimated_historical
2018,6,Matale,House,,,,14285714.285714285,4.3,13.0,162.0,3.3,8.5,100.0,estimated_historical
2018,6,Matale,Land,,,,209821.42857142858,4.3,13.0,162.0,3.3,8.5,100.0,estimated_historical
2018,6,Matara,Apartment,,,,27678571.42857143,4.3,13.0,162.0,3.3,8.5,100.0,estimated_historical
2018,6,Matara,House,,,,11428571.42857143,4.3,13.0,162.0,3.3,8.5,100.0,estimated_historical
2018,6,Matara,Land,,,,535714.2857142857,4.3,13.0,162.0,3.3,8.5,100.0,estimated_historical
2018,6,Monaragala,House,,,,1607142.8571428573,4.3,13.0,162.0,3.3,8.5,100.0,estimated_historical
2018,6,Monaragala,Land,,,,2857142.8571428573,4.3,13.0,162.0,3.3,8.5,100.0,estimated_historical
2018,6,Nuwara Eliya,Apartment,,,,10357142.857142858,4.3,13.0,162.0,3.3,8.5,100.0,estimated_historical
2018,6,Nuwara Eliya,House,,,,26785714.285714287,4.3,13.0,162.0,3.3,8.5,100.0,estimated_historical
