year,month,year_month,inflation_pct,lending_rate_pct,usd_lkr,gdp_growth_pct,population_m,policy_rate_pct,property_price_index,property_growth_pct
2018,1,2018-01,4.3,13.0,162.0,3.3,21.6,8.5,100.0,8.0
2018,2,2018-02,4.3,13.0,162.0,3.3,21.6,8.5,100.0,8.0
2018,3,2018-03,4.3,13.0,162.0,3.3,21.6,8.5,100.0,8.0
2018,4,2018-04,4.3,13.0,162.0,3.3,21.6,8.5,100.0,8.0
2018,5,2018-05,4.3,13.0,162.0,3.3,21.6,8.5,100.0,8.0
2018,6,2018-06,4.3,13.0,162.0,3.3,21.6,8.5,100.0,8.0
2018,7,2018-07,4.3,13.0,162.0,3.3,21.6,8.5,100.0,8.0
2018,8,2018-08,4.3,13.0,162.0,3.3,21.6,8.5,100.0,8.0
2018,9,2018-09,4.3,13.0,162.0,3.3,21.6,8.5,100.0,8.0
2018,10,2018-10,4.3,13.0,162.0,3.3,21.6,8.5,100.0,8.0
2018,11,2018-11,4.3,13.0,162.0,3.3,21.6,8.5,100.0,8.0
2018,12,2018-12,4.3,13.0,162.0,3.3,21.6,8.5,100.0,8.0
2019,1,2019-01,3.5,13.5,178.0,2.3,21.8,7.5,108.0,8.0
2019,2,2019-02,3.5,13.5,178.0,2.3,21.8,7.5,108.0,8.0
2019,3,2019-03,3.5,13.5,178.0,2.3,21.8,7.5,108.0,8.0
2019,4,2019-04,3.5,13.5,178.0,2.3,21.8,7.5,108.0,8.0
2019,5,2019-05,3.5,13.5,178.0,2.3,21.8,7.5,108.0,8.0
2019,6,2019-06,3.5,13.5,178.0,2.3,21.8,7.5,108.0,8.0
2019,7,2019-07,3.5,13.5,178.0,2.3,21.8,7.5,108.0,8.0
2019,8,2019-08,3.5,13.5,178.0,2.3,21.8,7.5,108.0,8.0
2019,9,2019-09,3.5,13.5,178.0,2.3,21.8,7.5,108.0,8.0
2019,10,2019-10,3.5,13.5,178.0,2.3,21.8,7.5,108.0,8.0
2019,11,2019-11,3.5,13.5,178.0,2.3,21.8,7.5,108.0,8.0
2019,12,2019-12,3.5,13.5,178.0,2.3,21.8,7.5,108.0,8.0
2020,1,2020-01,4.6,9.2,185.0,-3.6,22.0,4.5,115.0,6.5
2020,2,2020-02,4.6,9.2,185.0,-3.6,22.0,4.5,115.0,6.5
2020,3,2020-03,4.6,9.2,185.0,-3.6,22.0,4.5,115.0,6.5
2020,4,2020-04,4.6,9.2,185.0,-3.6,22.0,4.5,115.0,6.5
2020,5,2020-05,4.6,9.2,185.0,-3.6,22.0,4.5,115.0,6.5
2020,6,2020-06,4.6,9.2,185.0,-3.6,22.0,4.5,115.0,6.5
2020,7,2020-07,4.6,9.2,185.0,-3.6,22.0,4.5,115.0,6.5
2020,8,2020-08,4.6,9.2,185.0,-3.6,22.0,4.5,115.0,6.5
2020,9,2020-09,4.6,9.2,185.0,-3.6,22.0,4.5,115.0,6.5
2020,10,2020-10,4.6,9.2,185.0,-3.6,22.0,4.5,115.0,6.5
2020,11,2020-11,4.6,9.2,185.0,-3.6,22.0,4.5,115.0,6.5
2020,12,2020-12,4.6,9.2,185.0,-3.6,22.0,4.5,115.0,6.5
2021,1,2021-01,5.7,8.7,201.0,3.3,22.2,6.0,130.0,13.0
2021,2,2021-02,5.7,8.7,201.0,3.3,22.2,6.0,130.0,13.0
2021,3,2021-03,5.7,8.7,201.0,3.3,22.2,6.0,130.0,13.0
2021,4,2021-04,5.7,8.7,201.0,3.3,22.2,6.0,130.0,13.0
2021,5,2021-05,5.7,8.7,201.0,3.3,22.2,6.0,130.0,13.0
2021,6,2021-06,5.7,8.7,201.0,3.3,22.2,6.0,130.0,13.0
2021,7,2021-07,5.7,8.7,201.0,3.3,22.2,6.0,130.0,13.0
2021,8,2021-08,5.7,8.7,201.0,3.3,22.2,6.0,130.0,13.0
2021,9,2021-09,5.7,8.7,201.0,3.3,22.2,6.0,130.0,13.0
2021,10,2021-10,5.7,8.7,201.0,3.3,22.2,6.0,130.0,13.0
2021,11,2021-11,5.7,8.7,201.0,3.3,22.2,6.0,130.0,13.0
2021,12,2021-12,5.7,8.7,201.0,3.3,22.2,6.0,130.0,13.0
2022,1,2022-01,46.4,24.0,358.0,-7.8,22.2,15.5,195.0,50.0
2022,2,2022-02,46.4,24.0,358.0,-7.8,22.2,15.5,195.0,50.0
2022,3,2022-03,46.4,24.0,358.0,-7.8,22.2,15.5,195.0,50.0
2022,4,2022-04,46.4,24.0,358.0,-7.8,22.2,15.5,195.0,50.0
2022,5,2022-05,46.4,24.0,358.0,-7.8,22.2,15.5,195.0,50.0
2022,6,2022-06,46.4,24.0,358.0,-7.8,22.2,15.5,195.0,50.0
2022,7,2022-07,46.4,24.0,358.0,-7.8,22.2,15.5,195.0,50.0
2022,8,2022-08,46.4,24.0,358.0,-7.8,22.2,15.5,195.0,50.0
2022,9,2022-09,46.4,24.0,358.0,-7.8,22.2,15.5,195.0,50.0
2022,10,2022-10,46.4,24.0,358.0,-7.8,22.2,15.5,195.0,50.0
2022,11,2022-11,46.4,24.0,358.0,-7.8,22.2,15.5,195.0,50.0
2022,12,2022-12,46.4,24.0,358.0,-7.8,22.2,15.5,195.0,50.0
2023,1,2023-01,16.5,18.0,327.0,-2.3,22.2,10.0,230.0,18.0
2023,2,2023-02,16.5,18.0,327.0,-2.3,22.2,10.0,230.0,18.0
2023,3,2023-03,16.5,18.0,327.0,-2.3,22.2,10.0,230.0,18.0
2023,4,2023-04,16.5,18.0,327.0,-2.3,22.2,10.0,230.0,18.0
2023,5,2023-05,16.5,18.0,327.0,-2.3,22.2,10.0,230.0,18.0
2023,6,2023-06,16.5,18.0,327.0,-2.3,22.2,10.0,230.0,18.0
2023,7,2023-07,16.5,18.0,327.0,-2.3,22.2,10.0,230.0,18.0
2023,8,2023-08,16.5,18.0,327.0,-2.3,22.2,10.0,230.0,18.0
