district,elevation,monthly_rainfall_mm,avg_temp_c,soil_nitrogen,soil_phosphorus,soil_potassium,soil_ph,fertilizer_type,drainage_quality,yield_mt_per_hec,recorded_date
Kegalle,Mid,140.7,24.0,28.0,32.3,18.2,4.9,Combo,Fair,0.777,2026-02-23
Galle,Low,136.7,30.6,69.7,16.0,46.1,4.9,Combo,Poor,1.063,2026-01-24
Galle,Low,126.5,32.8,71.7,12.2,52.8,5.3,Combo,Fair,0.951,2025-12-25
Badulla,High,243.8,22.3,35.6,22.9,57.8,4.9,Combo,Poor,1.161,2025-11-25
Kandy,Mid,253.1,20.6,55.3,17.0,33.8,5.0,Organic,Fair,0.889,2025-10-26
Ratnapura,Low,168.1,30.4,66.1,20.2,33.8,5.2,Chemical,Poor,0.997,2025-09-26
Ratnapura,Low,282.0,32.5,30.9,25.0,33.4,4.8,Combo,Fair,0.554,2025-08-27
Kalutara,Low,187.5,25.6,43.3,35.2,38.6,4.8,Organic,Fair,0.914,2025-07-28
Matale,Mid,169.7,21.8,78.0,15.0,18.4,5.2,Combo,Poor,1.563,2025-06-28
Kalutara,Low,230.4,29.3,22.9,31.9,19.8,4.5,Chemical,Poor,0.578,2025-05-29
Kegalle,Mid,158.6,26.9,68.4,19.2,56.2,5.3,Organic,Fair,1.045,2025-04-29
Matale,Mid,201.2,25.7,34.8,12.6,45.6,5.3,Organic,Poor,0.713,2025-03-30
Ratnapura,Low,213.4,29.8,36.4,20.1,16.7,4.7,Combo,Fair,0.706,2025-02-28
Badulla,High,153.2,20.4,40.6,40.0,25.1,4.9,Organic,Good,0.844,2025-01-29
Badulla,High,181.5,23.7,73.8,13.1,45.9,4.7,Combo,Good,1.638,2024-12-30
Matale,Mid,71.2,28.6,56.2,15.8,44.9,5.1,Organic,Poor,0.595,2024-11-30
Kalutara,Low,329.6,29.5,28.6,12.4,28.4,4.7,Organic,Good,0.325,2024-10-31
Nuwara Eliya,High,124.2,15.4,21.4,27.0,53.2,4.7,Combo,Poor,0.671,2024-10-01
Ratnapura,Low,191.7,32.9,41.2,34.8,47.7,4.7,Combo,Good,0.903,2024-09-01
Kandy,Mid,108.5,21.0,72.8,14.7,21.2,5.4,Organic,Good,0.902,2024-08-02
Galle,Low,290.5,33.0,73.0,32.4,27.2,4.9,Combo,Fair,0.912,2024-07-03
Ratnapura,Low,345.8,23.7,26.5,18.2,22.4,5.2,Combo,Good,0.504,2024-06-03
Badulla,High,242.0,20.8,44.9,37.4,32.9,4.6,Combo,Fair,1.237,2024-05-04
Badulla,High,150.5,25.0,20.0,32.4,49.9,4.7,Organic,Fair,0.627,2024-04-04
Nuwara Eliya,High,122.5,20.6,23.0,36.1,55.5,4.7,Organic,Poor,0.701,2024-03-05
Nuwara Eliya,High,214.5,11.8,25.6,30.4,38.1,4.9,Organic,Good,0.509,2024-02-04
Kalutara,Low,187.3,25.8,63.8,22.3,24.1,4.6,Combo,Good,1.327,2024-01-05
Matale,Mid,179.5,22.7,41.3,12.2,51.7,5.5,Organic,Poor,0.87,2023-12-06
Galle,Low,278.4,33.1,50.2,19.7,38.8,4.9,Chemical,Fair,0.648,2023-11-06
Matale,Mid,167.9,27.8,49.4,13.3,39.2,5.3,Organic,Poor,0.733,2023-10-07
Nuwara Eliya,High,228.5,17.0,74.0,37.0,39.2,4.9,Combo,Fair,1.561,2023-09-07
Ratnapura,Low,257.5,24.9,62.6,23.6,56.3,4.8,Organic,Good,1.034,2023-08-08
Kalutara,Low,306.6,29.1,43.4,21.0,32.9,5.0,Combo,Good,0.705,2023-07-09
Nuwara Eliya,High,170.7,13.3,23.5,37.8,39.6,4.6,Organic,Poor,0.553,2023-06-09
Matale,Mid,195.8,24.3,68.4,35.8,56.5,5.3,Organic,Fair,1.375,2023-05-10
Galle,Low,273.1,32.6,23.9,40.0,18.4,4.9,Organic,Good,0.398,2023-04-10
Kalutara,Low,283.5,28.4,38.3,17.0,56.1,4.7,Organic,Fair,0.602,2023-03-11
Ratnapura,Low,206.1,27.2,79.0,19.7,23.0,5.2,Combo,Poor,1.474,2023-02-09
Ratnapura,Low,171.1,31.0,68.0,15.3,29.9,5.1,Combo,Fair,1.046,2023-01-10
Badulla,High,214.8,21.4,45.9,13.2,43.4,5.0,Organic,Fair,0.906,2022-12-11
Ratnapura,Low,209.1,24.8,76.7,31.6,44.2,5.1,Combo,Poor,1.801,2022-11-11
Badulla,High,128.6,22.8,67.9,17.8,19.4,5.0,Organic,Fair,0.924,2022-10-12
Ratnapura,Low,287.8,31.5,27.5,37.2,26.7,5.2,Chemical,Good,0.532,2022-09-12
Nuwara Eliya,High,109.0,11.6,56.9,27.1,21.0,4.9,Chemical,Poor,0.686,2022-08-13
Kalutara,Low,188.6,31.8,43.3,34.0,25.2,4.8,Organic,Poor,0.654,2022-07-14
Nuwara Eliya,High,177.5,16.7,58.7,37.2,33.8,5.1,Organic,Good,0.996,2022-06-14
Kalutara,Low,157.5,24.2,59.7,27.0,51.2,4.8,Combo,Good,1.429,2022-05-15
Galle,Low,133.7,33.8,25.4,24.5,25.8,4.9,Combo,Poor,0.458,2022-04-15
Matale,Mid,131.4,22.9,45.7,14.5,26.1,5.6,Chemical,Good,0.857,2022-03-16
Galle,Low,267.2,24.5,63.0,37.5,17.6,5.0,Chemical,Poor,1.158,2022-02-14
Kalutara,Low,269.2,31.3,40.8,18.8,17.5,4.6,Organic,Good,0.453,2022-01-15
Nuwara Eliya,High,235.3,16.5,57.5,24.1,22.7,5.0,Chemical,Good,0.994,2021-12-16
Kegalle,Mid,149.3,27.9,41.2,18.3,51.6,5.0,Organic,Good,0.689,2021-11-16
Badulla,High,193.4,24.7,66.1,18.0,38.0,4.8,Combo,Poor,1.474,2021-10-17
Nuwara Eliya,High,191.6,17.1,78.8,16.9,38.2,4.5,Combo,Poor,1.528,2021-09-17
Galle,Low,253.5,26.2,73.1,25.1,30.7,5.1,Chemical,Good,1.223,2021-08-18
Kegalle,Mid,206.7,29.0,28.7,20.5,37.4,4.8,Combo,Poor,0.759,2021-07-19
Badulla,High,208.0,20.5,54.8,29.5,33.1,4.9,Combo,Poor,1.438,2021-06-19
Badulla,High,59.5,18.7,32.2,21.6,55.8,4.7,Combo,Fair,0.702,2021-05-20
Kalutara,Low,228.0,31.8,34.0,37.8,42.4,4.6,Organic,Good,0.628,2021-04-20
Kandy,Mid,207.0,19.4,60.4,39.4,38.0,5.0,Organic,Poor,1.207,2021-03-21
Badulla,High,89.4,18.6,65.2,31.9,26.2,5.2,Combo,Fair,1.084,2021-02-19
Kalutara,Low,266.4,30.6,68.2,22.5,30.0,4.8,Combo,Good,1.007,2021-01-20
Badulla,High,213.1,20.6,65.0,24.0,29.2,4.8,Combo,Good,1.505,2020-12-21
Kalutara,Low,282.1,26.5,54.1,30.9,33.5,4.9,Combo,Good,1.037,2020-11-21
Ratnapura,Low,289.2,30.1,68.2,27.5,32.6,5.0,Combo,Good,1.008,2020-10-22
Galle,Low,287.2,32.9,62.8,34.4,20.7,5.3,Combo,Poor,0.817,2020-09-22
Kalutara,Low,298.1,24.5,39.7,17.6,42.4,4.6,Combo,Fair,0.842,2020-08-23
Nuwara Eliya,High,157.7,15.0,38.2,34.2,50.9,5.0,Organic,Good,0.738,2020-07-24
Galle,Low,181.9,27.9,22.4,37.8,15.8,5.2,Combo,Poor,0.716,2020-06-24
Galle,Low,136.8,31.6,65.3,36.2,17.7,5.3,Combo,Poor,0.968,2020-05-25
Kalutara,Low,299.7,30.2,32.3,22.5,27.2,4.6,Chemical,Poor,0.506,2020-04-25
Kandy,Mid,119.4,25.8,75.2,25.7,31.5,5.1,Organic,Fair,0.978,2020-03-26
Galle,Low,311.6,33.1,30.3,37.3,20.1,4.8,Organic,Good,0.371,2020-02-25
Ratnapura,Low,257.4,25.7,61.5,36.7,47.1,4.9,Combo,Good,1.377,2020-01-26
Matale,Mid,213.7,26.9,41.6,17.7,19.7,5.6,Combo,Poor,0.875,2019-12-27
Kandy,Mid,247.4,26.7,67.7,12.7,46.5,5.0,Combo,Poor,1.25,2019-11-27
Kalutara,Low,196.6,24.0,55.9,33.3,17.5,5.0,Chemical,Poor,1.269,2019-10-28
Galle,Low,247.4,30.6,39.6,10.8,25.9,5.3,Combo,Fair,0.646,2019-09-28
Galle,Low,182.3,30.0,73.0,26.6,17.3,5.3,Combo,Poor,1.201,2019-08-29
Matale,Mid,68.0,22.6,79.4,28.5,16.8,5.2,Combo,Fair,1.222,2019-07-30
Galle,Low,159.5,33.9,53.7,38.3,15.7,5.3,Organic,Poor,0.605,2019-06-30
Nuwara Eliya,High,259.3,16.2,33.8,27.6,27.3,4.8,Organic,Good,0.567,2019-05-31
Ratnapura,Low,256.2,28.9,48.9,21.7,45.2,5.3,Chemical,Good,0.869,2019-05-01
Kegalle,Mid,94.0,30.8,46.9,16.1,47.0,5.2,Organic,Fair,0.53,2019-04-01
Galle,Low,151.7,24.5,49.1,17.9,20.0,5.1,Chemical,Fair,0.898,2019-03-02
Kalutara,Low,225.8,27.9,58.9,27.9,37.4,4.5,Combo,Good,1.219,2019-01-31
Kandy,Mid,201.4,25.3,72.6,29.8,23.3,5.3,Chemical,Fair,1.472,2019-01-01
Matale,Mid,63.8,24.7,56.1,11.2,28.5,5.1,Combo,Fair,0.792,2018-12-02
Galle,Low,313.9,26.7,64.0,38.1,41.5,4.8,Organic,Poor,0.845,2018-11-02
Matale,Mid,132.2,22.0,78.9,37.9,49.6,5.2,Combo,Fair,1.798,2018-10-03
Nuwara Eliya,High,168.3,21.0,27.4,27.3,49.2,4.8,Chemical,Good,0.927,2018-09-03
Galle,Low,230.9,31.5,48.2,39.0,47.5,5.2,Combo,Good,1.033,2018-08-04
Kalutara,Low,151.8,27.9,24.5,14.8,49.1,4.4,Combo,Fair,0.677,2018-07-05
Kegalle,Mid,113.2,24.5,60.4,27.3,29.0,4.9,Combo,Fair,1.143,2018-06-05
Matale,Mid,62.7,29.8,64.0,32.0,50.3,5.0,Organic,Poor,0.674,2018-05-06
Kandy,Mid,115.9,23.1,69.0,23.2,26.5,5.3,Organic,Fair,0.964,2018-04-06
Ratnapura,Low,166.7,30.3,39.5,30.8,24.1,5.2,Combo,Fair,0.8,2018-03-07
Galle,Low,187.6,32.0,69.9,28.5,23.0,5.3,Combo,Good,1.112,2018-02-05
Badulla,High,215.1,15.7,38.5,39.3,46.4,4.7,Organic,Fair,0.836,2018-01-06
Matale,Mid,223.8,22.7,61.9,10.5,27.2,5.3,Chemical,Fair,1.213,2017-12-07
Nuwara Eliya,High,125.1,20.6,27.8,15.5,56.6,4.8,Combo,Good,0.824,2017-11-07
Galle,Low,191.0,32.2,44.5,27.0,47.0,4.9,Chemical,Fair,0.839,2017-10-08
Ratnapura,Low,209.4,27.6,38.7,35.9,41.5,4.9,Chemical,Good,1.001,2017-09-08
Badulla,High,193.2,21.8,25.3,38.9,59.4,4.9,Organic,Poor,0.955,2017-08-09
Nuwara Eliya,High,174.2,18.4,45.4,23.2,15.7,4.6,Organic,Poor,0.733,2017-07-10
Kalutara,Low,280.9,24.5,34.0,12.4,32.6,4.6,Chemical,Good,0.659,2017-06-10
Kalutara,Low,215.7,25.0,22.8,26.6,25.8,4.6,Combo,Fair,0.766,2017-05-11
Kegalle,Mid,187.0,30.9,61.4,27.5,48.3,5.3,Combo,Poor,1.189,2017-04-11
Nuwara Eliya,High,178.6,19.3,53.6,17.6,19.3,4.5,Combo,Poor,1.106,2017-03-12
Kandy,Mid,241.2,19.0,24.9,30.2,50.6,5.5,Organic,Poor,0.694,2017-02-10
Nuwara Eliya,High,251.1,17.7,47.1,24.3,56.5,4.5,Chemical,Poor,1.032,2017-01-11
Ratnapura,Low,336.3,30.4,79.3,38.8,46.8,5.2,Combo,Fair,1.033,2016-12-12
Matale,Mid,103.9,27.3,26.0,11.5,22.3,5.0,Combo,Poor,0.468,2016-11-12
Galle,Low,304.1,27.5,48.2,35.4,31.3,5.3,Chemical,Poor,0.815,2016-10-13
Kegalle,Mid,189.8,27.1,46.5,19.8,40.0,5.1,Combo,Poor,1.079,2016-09-13
Kalutara,Low,270.5,25.5,73.8,30.0,49.6,4.4,Combo,Good,1.455,2016-08-14
Kandy,Mid,203.4,21.6,58.9,15.1,46.5,5.0,Combo,Fair,1.52,2016-07-15
Galle,Low,267.2,31.0,67.6,12.8,28.3,5.3,Combo,Poor,0.914,2016-06-15
Ratnapura,Low,238.1,29.2,22.2,29.0,19.3,4.8,Organic,Poor,0.439,2016-05-16
Kegalle,Mid,94.6,25.2,27.8,12.2,31.2,4.9,Combo,Fair,0.562,2016-04-16
Kalutara,Low,301.8,27.1,68.2,29.6,50.1,4.6,Combo,Good,1.192,2016-03-17
Ratnapura,Low,305.8,27.2,48.0,34.4,36.7,4.9,Organic,Good,0.679,2016-02-16
Matale,Mid,258.2,20.1,44.6,28.6,33.8,5.1,Chemical,Fair,0.998,2016-01-17
Kegalle,Mid,198.8,29.8,21.5,23.2,55.4,5.2,Organic,Fair,0.578,2015-12-18
Kandy,Mid,128.8,23.9,75.4,32.8,45.7,5.3,Chemical,Fair,1.449,2015-11-18
Kandy,Mid,114.8,22.2,42.9,38.2,39.9,4.9,Combo,Good,1.14,2015-10-19
Badulla,High,226.1,23.6,33.5,32.0,15.6,4.9,Combo,Good,0.941,2015-09-19
Kegalle,Mid,108.5,24.7,34.2,25.9,26.0,5.0,Combo,Poor,0.761,2015-08-20
Nuwara Eliya,High,139.2,17.9,64.6,33.6,30.1,4.9,Organic,Fair,0.951,2015-07-21
Kegalle,Mid,278.1,26.4,22.6,16.0,49.0,5.0,Organic,Fair,0.479,2015-06-21
Kandy,Mid,233.6,26.7,69.9,26.0,20.2,4.9,Combo,Good,1.308,2015-05-22
Nuwara Eliya,High,212.6,19.2,76.6,30.6,57.7,4.7,Combo,Poor,1.868,2015-04-22
Kalutara,Low,322.8,26.9,47.0,27.2,27.5,5.0,Chemical,Good,0.715,2015-03-23
Matale,Mid,154.9,24.1,32.2,13.4,56.7,5.1,Organic,Good,0.698,2015-02-21
Kegalle,Mid,138.1,26.3,23.6,37.3,31.0,4.8,Combo,Good,0.769,2015-01-22
Kegalle,Mid,179.5,26.1,70.9,19.3,20.1,5.3,Chemical,Fair,1.218,2014-12-23
Ratnapura,Low,319.9,29.3,63.4,15.9,57.2,4.8,Organic,Fair,0.682,2014-11-23
Nuwara Eliya,High,147.8,15.8,73.3,23.6,34.6,4.7,Chemical,Poor,1.152,2014-10-24
Galle,Low,123.0,32.3,63.9,11.6,34.9,5.4,Combo,Fair,0.81,2014-09-24
Matale,Mid,117.8,26.0,33.0,23.0,18.8,5.1,Chemical,Poor,0.615,2014-08-25
Kalutara,Low,162.8,31.2,53.3,33.3,55.1,4.7,Organic,Poor,0.808,2014-07-26
Galle,Low,191.7,25.3,74.8,15.1,27.3,5.2,Combo,Poor,1.486,2014-06-26
Badulla,High,142.8,21.5,30.8,30.8,22.8,5.1,Organic,Poor,0.661,2014-05-27
Kandy,Mid,232.2,24.4,76.4,26.6,24.9,5.0,Combo,Poor,1.565,2014-04-27
Kalutara,Low,205.8,31.7,73.2,29.8,32.7,4.5,Organic,Good,0.934,2014-03-28
Kalutara,Low,197.7,29.4,50.5,38.2,59.8,4.6,Organic,Good,0.992,2014-02-26
Matale,Mid,140.1,25.4,63.3,23.0,24.1,5.1,Combo,Good,1.168,2014-01-27
Kalutara,Low,213.4,25.1,44.4,17.4,44.3,4.5,Chemical,Good,1.029,2013-12-28
Nuwara Eliya,High,101.5,14.4,45.4,18.4,29.0,5.0,Organic,Poor,0.518,2013-11-28
Kegalle,Mid,159.4,31.0,26.2,35.2,48.6,5.2,Combo,Poor,0.765,2013-10-29
Ratnapura,Low,240.0,30.3,32.7,38.4,59.6,5.1,Combo,Poor,0.94,2013-09-29
Nuwara Eliya,High,103.7,11.5,59.3,24.7,50.3,4.7,Organic,Fair,0.627,2013-08-30
Kegalle,Mid,253.1,21.2,28.9,33.1,54.3,4.9,Organic,Fair,0.799,2013-07-31
Kalutara,Low,153.9,25.6,38.1,33.8,51.9,5.0,Organic,Good,0.829,2013-07-01
Matale,Mid,74.0,23.2,69.3,31.0,17.1,5.4,Organic,Poor,0.85,2013-06-01
